Elapsed.time   CPU     Real.mem   Virtual.mem
    6072.840       99.900    11422.102    16571.051
    6073.841       99.900    11422.102    16571.051
    6074.842       99.900    11422.102    16571.051
    6075.843      100.900    11422.102    16571.051
    6076.844       99.900    11422.102    16571.051
    6077.845       99.900    11422.102    16571.051
    6078.846       99.900    11422.102    16571.051
    6079.847       99.900    11422.102    16571.051
    6080.848       99.900    11422.102    16571.051
    6081.849       99.900    11422.102    16571.051
    6082.850       99.900    11422.102    16571.051
    6083.851      127.900    11422.102    16571.051
    6084.852       99.900    11422.477    16571.051
    6085.853       99.900    11422.477    16571.051
    6086.855       99.900    11422.477    16571.051
    6087.856       99.900    11422.477    16571.051
    6088.857       99.900    11422.477    16571.051
    6089.858       99.900    11422.477    16571.051
    6090.859       99.900    11422.477    16571.051
    6091.860       99.900    11422.477    16571.051
    6092.861       99.900    11422.477    16571.051
    6093.862       99.900    11422.477    16571.051
    6094.863      100.900    11422.477    16571.051
    6095.864      118.900    11422.477    16571.051
    6096.865      106.900    11422.477    16571.051
    6097.866       99.900    11422.477    16571.051
    6098.867       99.900    11422.477    16571.051
    6099.868       99.900    11422.477    16571.051
    6100.869       99.900    11422.477    16571.051
    6101.870      100.900    11422.477    16571.051
    6102.871       99.900    11422.477    16571.051
    6103.872       99.900    11422.477    16571.051
    6104.873       99.900    11422.477    16571.051
    6105.874       99.900    11422.477    16571.051
    6106.875       99.900    11422.477    16571.051
    6107.876      124.900    11422.477    16571.051
    6108.877       99.900    11422.477    16571.051
    6109.878      100.800    11422.477    16571.051
    6110.879       99.900    11422.477    16571.051
    6111.880       99.900    11422.477    16571.051
    6112.881       99.900    11422.477    16571.051
    6113.882       99.900    11422.477    16571.051
    6114.883       99.900    11422.477    16571.051
    6115.884       99.900    11422.477    16571.051
    6116.886       99.900    11422.477    16571.051
    6117.887       99.900    11422.477    16571.051
    6118.888       99.900    11422.477    16571.051
    6119.889      124.900    11422.602    16571.051
    6120.890       99.900    11422.602    16571.051
    6121.891      100.900    11422.602    16571.051
    6122.892       99.900    11422.602    16571.051
    6123.893       99.900    11422.602    16571.051
    6124.894       99.900    11422.602    16571.051
    6125.895       99.900    11422.602    16571.051
    6126.896       99.900    11422.602    16571.051
    6127.897       99.900    11422.602    16571.051
    6128.898       99.900    11422.602    16571.051
    6129.899       99.900    11422.602    16571.051
    6130.900       99.900    11422.602    16571.051
    6131.901      128.800    11422.602    16571.051
    6132.902       99.900    11422.602    16571.051
    6133.903       99.900    11422.602    16571.051
    6134.904       99.900    11422.602    16571.051
    6135.905       99.900    11422.602    16571.051
    6136.906       99.900    11422.602    16571.051
    6137.907       99.900    11422.602    16571.051
    6138.908       99.900    11422.602    16571.051
    6139.909       99.900    11422.602    16571.051
    6140.910      100.900    11422.602    16571.051
    6141.911       99.900    11422.602    16571.051
    6142.912       99.900    11422.602    16571.051
    6143.913      126.800    11422.727    16571.051
    6144.914       99.900    11422.727    16571.051
    6145.915       99.900    11422.727    16571.051
    6146.917       99.900    11422.727    16571.051
    6147.918       99.900    11422.727    16571.051
    6148.919       99.900    11422.727    16571.051
    6149.920       99.900    11422.727    16571.051
    6150.921       99.900    11422.727    16571.051
    6151.922       99.900    11422.727    16571.051
    6152.923       99.900    11422.727    16571.051
    6153.924      100.900    11422.727    16571.051
    6154.925       99.900    11422.727    16571.051
    6155.926      127.900    11422.727    16571.051
    6156.927       99.900    11422.727    16571.051
    6157.928       99.900    11422.727    16571.051
    6158.929       99.900    11422.727    16571.051
    6159.930       99.900    11422.727    16571.051
    6160.931       99.900    11422.727    16571.051
    6161.932       99.900    11422.727    16571.051
    6162.933       99.900    11422.727    16571.051
    6163.934       99.900    11422.727    16571.051
    6164.935      100.900    11422.727    16571.051
    6165.936       99.900    11422.727    16571.051
    6166.937       99.900    11422.727    16571.051
    6167.938      125.900    11422.727    16571.051
    6168.939      100.900    11422.727    16571.051
    6169.940       99.900    11422.727    16571.051
    6170.941       99.900    11422.727    16571.051
    6171.942       99.900    11422.727    16571.051
    6172.943       99.900    11422.727    16571.051
    6173.944       99.900    11422.727    16571.051
    6174.945       99.900    11422.727    16571.051
    6175.946       99.900    11422.727    16571.051
    6176.948       99.900    11422.727    16571.051
    6177.949       99.900    11422.727    16571.051
    6178.950       99.900    11422.727    16571.051
    6179.951      132.900    11422.727    16571.051
    6180.952       99.900    11422.727    16571.051
    6181.953      100.900    11422.727    16571.051
    6182.954       99.900    11422.727    16571.051
    6183.955       99.900    11422.727    16571.051
    6184.956       99.900    11422.727    16571.051
    6185.957       99.900    11422.727    16571.051
    6186.958       99.900    11422.727    16571.051
    6187.959       99.900    11422.727    16571.051
    6188.960       99.900    11422.727    16571.051
    6189.961       99.900    11422.727    16571.051
    6190.962       99.900    11422.727    16571.051
    6191.963      124.900    11422.727    16571.051
    6192.964      100.900    11422.727    16571.051
    6193.965       99.900    11422.727    16571.051
    6194.966       99.900    11422.727    16571.051
    6195.967       99.900    11422.727    16571.051
    6196.968       99.900    11422.727    16571.051
    6197.969       99.900    11422.727    16571.051
    6198.970       99.900    11422.727    16571.051
    6199.971       99.900    11422.727    16571.051
    6200.972       99.900    11422.727    16571.051
    6201.973       99.900    11422.727    16571.051
    6202.974       99.900    11422.727    16571.051
    6203.975      128.800    11422.727    16571.051
    6204.976       99.900    11422.727    16571.051
    6205.977       99.900    11422.727    16571.051
    6206.979       99.900    11422.727    16571.051
